date,desc,btc_in,btc_out,hash,bal
20140312,PAYMENT RECEIVED,4.46,0,5562d7013447f70ea472196c3330185caae7cf0b4b278e7bb41b89eb3809a7a0,18.62941022
20140312,PAYMENT RECEIVED,0.06,0,9e5e5e804f91d1e00f7c52c48a54d125a92cf436d474e7ee15731b23e25fe8bc,18.68941022
20140312,PAYMENT RECEIVED,0.02,0,28c7fe16ab5b928ac939d9e53c64167b9d62d86aebe3edbe9bd31446d3f7d3a2,18.70941022
20140312,PAYMENT RECEIVED,0.063,0,90a6686fa51a07b99827eccdc112b383f7adefd03c05fcf7cc29b13bfe9c9c28,18.77241022
20140312,PAYMENT RECEIVED,0.099,0,8b359d6d36361c364c43a9cd8bc001603a7b6fa79a3a80d5caba882b0d682ee2,18.87141022
20140312,PAYMENT RECEIVED,1,0,0fc1d48a5a381cd5e20805646b72adec5dbda79567a3b8e8a357a8793d61b445,11.55901022
20140312,PAYMENT RECEIVED,0.0704,0,aafcfc5e8856ea596badd6d5fa4b6a7cc941a4370438ec93a926b56100a15ad4,11.62941022
20140312,PAYMENT RECEIVED,1.54,0,1f449ad5e4007a0d4552dad71f82cdf48bdb9f50de75cd5586fd1aa693280ef9,13.16941022
20140312,PAYMENT RECEIVED,0.09,0,078f060dd5e76332b83ab16996c5a5bc8c13d3c480a79fb6e9db1e45dbb794ac,7.74201022
20140312,PAYMENT RECEIVED,0.017,0,27e59bf0d486ac6f76ca2f1a446b25a170559cd49ba3a160f6d18c7fc7707379,7.75901022
20140312,PAYMENT RECEIVED,1,0,7c62c914f1d8dbc1edea04a55103983befd14f0a567c27d79d163fc7d7036da7,8.75901022
20140312,PAYMENT RECEIVED,1.8,0,b97370a1f66757a1997bf3b869bafa745de31eb8cc7f17e5340fcb836c1d1289,10.55901022
20140312,PAYMENT RECEIVED,0.0999,0,07e7070be11c3d4d7ca11377c1318f81793585e7b0ab411165daf908a3516dfb,4.48822024
20140312,PAYMENT RECEIVED,0.2,0,5ed475e6cbe4b2615f0d3d8e9b1fc1ab6e235223075e43340d14bd9a0a37f74d,4.68822024
20140312,PAYMENT RECEIVED,0.0222,0,27c7006063005452cfab677b9ab6218eed2f3ddf477af88a1bb5d379d82ff1a1,4.71042024
20140312,PAYMENT RECEIVED,0.3,0,707fcdabc21bae93be772c0503976e7aafd4f23fb9088359a7b2a89ebf0c0687,5.01042024
20140312,PAYMENT RECEIVED,2.64158998,0,5059c882252009b4803be6eb263bd83a89344b4c14e1a9964acfcc391e734e2c,7.65201022
20140312,PAYMENT RECEIVED,0.15,0,18b1ae62579704fd293febe10e4aaeb081a22c86deb65b07af76f4af875c4ace,3.95998484
20140312,PAYMENT RECEIVED,0.2,0,c8bce8e600f01cb80847dd89a77eadbb8a1e8e97d31a51427d110b1281ea7a8d,4.15998484
20140312,PAYMENT RECEIVED,0.042,0,e6c639c136235d2941199917b3ae0402ba53ac44e0d37bffde7017df002499c3,4.20198484
20140312,PAYMENT RECEIVED,0.1863354,0,d5585e3e47447b44a41af0ed2cdae4a68943f589a664d4d68c064e3317d16d58,4.38832024
20140312,PAYMENT RECEIVED,0.024,0,4aea0d93c9529ba19806579548c67a232b1d18de0d87ba5f0c48bcf8a24fa494,3.80998484
20140311,PAYMENT RECEIVED,0.1,0,fc085bde97e097ffffa0c61d502dff00ee0d12498c8d896791022fdbe5cbca38,3.54008484
20140311,PAYMENT RECEIVED,0.0199,0,437e767a859f5ce2efd35abd39d4a9f0ce24f9f12f208b94c1cfa8ff20950802,3.55998484
20140311,PAYMENT RECEIVED,0.076,0,d894ef597925d6bec368070f2f15333fdbbcd31294547ea857e755edd05ccc08,3.63598484
20140311,PAYMENT RECEIVED,0.15,0,a55aa426efd614e4b3546bdb43b1a57930756b6494215b51944401b3a3044062,3.78598484
